Timecode,BlendShapeCount,eyeBlinkRight,eyeLookDownRight,eyeLookInRight,eyeLookOutRight,eyeLookUpRight,eyeSquintRight,eyeWideRight,eyeBlinkLeft,eyeLookDownLeft,eyeLookInLeft,eyeLookOutLeft,eyeLookUpLeft,eyeSquintLeft,eyeWideLeft,jawForward,jawRight,jawLeft,jawOpen,mouthClose,mouthFunnel,mouthPucker,mouthRight,mouthLeft,mouthSmileRight,mouthSmileLeft,mouthFrownRight,mouthFrownLeft,mouthDimpleRight,mouthDimpleLeft,mouthStretchRight,mouthStretchLeft,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthPressRight,mouthPressLeft,mouthLowerDownRight,mouthLowerDownLeft,mouthUpperUpRight,mouthUpperUpLeft,browDownRight,browDownLeft,browInnerUp,browOuterUpRight,browOuterUpLeft,cheekPuff,cheekSquintRight,cheekSquintLeft,noseSneerRight,noseSneerLeft,tongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
100:44:47:22.832,61,0.0479632020,0.3555048704,0.1005406231,0.0000000000,0.0000000000,0.0480402373,0.0000000000,0.0476866588,0.3559718728,0.0182163212,0.0000000000,0.0000000000,0.0480377041,0.0000000000,0.0839832351,0.0000000000,0.0071817758,0.0745559335,0.0745559335,0.0753881186,0.1095089093,0.0254928637,0.0000000000,0.0305673219,0.0170987453,0.0000000000,0.0000000000,0.0916264132,0.0932440311,0.1423170567,0.1432115585,0.1542357951,0.0601118430,0.1387879252,0.1832931787,0.1034457311,0.0919744968,0.0984800607,0.0903983265,0.0478338525,0.0431701541,0.0122285224,0.0118283993,0.1100149602,0.0000000000,0.0000000000,0.0705420375,0.0661439598,0.0585228130,0.1007364392,0.1032029316,0.0001976553,0.0270226188,0.3151325881,-0.0166570768,-0.0110838367,0.2174486369,-0.0012098660,0.0611751787,0.2170972228,0.0066688019
100:44:47:23.832,61,0.0474371873,0.3568037748,0.1001590937,0.0000000000,0.0000000000,0.0482996926,0.0000000000,0.0471585244,0.3572666645,0.0186088085,0.0000000000,0.0000000000,0.0482970737,0.0000000000,0.0840635896,0.0000000000,0.0072258050,0.0746827722,0.0746827722,0.0753118247,0.1093498021,0.0250048880,0.0000000000,0.0291928481,0.0161040202,0.0000000000,0.0000000000,0.0914569944,0.0930538997,0.1423434764,0.1433273852,0.1543236375,0.0601691827,0.1384959221,0.1833800375,0.1029293761,0.0914807245,0.0980895907,0.0902007297,0.0476751998,0.0430523604,0.0134847388,0.0130891502,0.1093862951,0.0000000000,0.0000000000,0.0701779425,0.0659905002,0.0583984330,0.1003962830,0.1028593481,0.0002281623,0.0270226188,0.3151325881,-0.0166570768,-0.0113223204,0.2182394564,-0.0012404292,0.0609412715,0.2178909183,0.0066677686
100:44:47:24.833,61,0.0473818257,0.3558370173,0.1004870310,0.0000000000,0.0000000000,0.0485631339,0.0000000000,0.0471026972,0.3563036323,0.0182572529,0.0000000000,0.0000000000,0.0485603772,0.0000000000,0.0842979252,0.0000000000,0.0073128273,0.0747543722,0.0747543722,0.0752231851,0.1092057452,0.0244696382,0.0000000000,0.0283467229,0.0155250868,0.0000000000,0.0000000000,0.0914651528,0.0930777341,0.1423508078,0.1434647590,0.1545918435,0.0603496358,0.1383796632,0.1835131794,0.1027084664,0.0912326351,0.0977822319,0.0900511220,0.0474981815,0.0429151170,0.0142873758,0.0138973892,0.1088981107,0.0000000000,0.0000000000,0.0700033605,0.0658583641,0.0582777187,0.0999761298,0.1024331525,0.0002821474,0.0270226188,0.3151325881,-0.0166570768,-0.0111086592,0.2176512778,-0.0012137146,0.0611421242,0.2173001468,0.0066714748
100:44:47:25.833,61,0.0501805469,0.3573135138,0.1018980369,0.0000000000,0.0000000000,0.0486941189,0.0000000000,0.0499202684,0.3578042984,0.0168335829,0.0000000000,0.0000000000,0.0486912318,0.0000000000,0.0848546103,0.0000000000,0.0075183609,0.0748103037,0.0748103037,0.0751447454,0.1090904772,0.0238852743,0.0000000000,0.0277282335,0.0150406696,0.0000000000,0.0000000000,0.0916728675,0.0933447927,0.1424037963,0.1437463164,0.1549806148,0.0607316494,0.1384236813,0.1836102307,0.1028599739,0.0913309008,0.0977184027,0.0901006386,0.0473549403,0.0428064875,0.0153980087,0.0150161805,0.1083589494,0.0000000000,0.0000000000,0.0700944364,0.0657650605,0.0581776537,0.0996531397,0.1021144241,0.0003693678,0.0270226188,0.3151325881,-0.0166570768,-0.0102420822,0.2185683250,-0.0011237845,0.0619986095,0.2181998044,0.0067932229
100:44:47:26.834,61,0.0525622144,0.3569889665,0.1012561023,0.0000000000,0.0000000000,0.0489820577,0.0000000000,0.0523061417,0.3574690521,0.0175182056,0.0000000000,0.0000000000,0.0489790142,0.0000000000,0.0853284150,0.0000000000,0.0077306158,0.0749388710,0.0749388710,0.0751966313,0.1090810224,0.0233693179,0.0000000000,0.0276071988,0.0150382444,0.0000000000,0.0000000000,0.0918378308,0.0935507491,0.1423147917,0.1438538134,0.1552808136,0.0611071102,0.1383125335,0.1836807728,0.1030272469,0.0914633572,0.0977543890,0.0902622864,0.0472344942,0.0427089520,0.0186820179,0.0183102638,0.1077454239,0.0000000000,0.0000000000,0.0701938570,0.0657950044,0.0581943318,0.0993321091,0.1018162966,0.0005974317,0.0270226188,0.3151325881,-0.0166570768,-0.0106587065,0.2183633298,-0.0011683929,0.0616084971,0.2180025578,0.0067442977
100:44:47:27.835,61,0.0537339672,0.3611634076,0.1037591994,0.0000000000,0.0000000000,0.0491463952,0.0000000000,0.0534738936,0.3616879582,0.0152285779,0.0000000000,0.0000000000,0.0491428934,0.0000000000,0.0853096470,0.0000000000,0.0079757394,0.0752038360,0.0752038360,0.0754754096,0.1091859415,0.0227899272,0.0000000000,0.0273438897,0.0151791265,0.0000000000,0.0000000000,0.0915921628,0.0933107883,0.1423103511,0.1439826488,0.1549674869,0.0609891750,0.1379218251,0.1841956973,0.1026043147,0.0910721272,0.0975152552,0.0901983157,0.0473513156,0.0428715050,0.0295491926,0.0290480126,0.1063512489,0.0000000000,0.0000000000,0.0699544698,0.0657719374,0.0581437610,0.0992303118,0.1017557830,0.0007447524,0.0270226188,0.3151325881,-0.0166570768,-0.0092647364,0.2209410369,-0.0010276714,0.0631255582,0.2205481827,0.0069918321
100:44:47:28.835,61,0.0546112843,0.3613577783,0.1063826755,0.0000000000,0.0000000000,0.0494629405,0.0000000000,0.0543416515,0.3619230986,0.0127365571,0.0000000000,0.0000000000,0.0494593196,0.0000000000,0.0868400782,0.0000000000,0.0080560241,0.0758142322,0.0758142322,0.0757395700,0.1093987301,0.0226253495,0.0000000000,0.0272755958,0.0151881771,0.0000000000,0.0000000000,0.0917417109,0.0934645087,0.1426037103,0.1443352550,0.1558026224,0.0615128428,0.1376496106,0.1845357716,0.1026512012,0.0911061317,0.0979238525,0.0906215534,0.0473160557,0.0428675041,0.0332859941,0.0327527598,0.1055778116,0.0000000000,0.0000000000,0.0700035542,0.0659796968,0.0583166331,0.0989578068,0.1015476808,0.0008750366,0.0270226188,0.3151325881,-0.0166570768,-0.0077486038,0.2210851461,-0.0008600610,0.0647213459,0.2206631005,0.0071724732
100:44:47:29.836,61,0.0554477647,0.3634513021,0.1080458537,0.0000000000,0.0000000000,0.0496464372,0.0000000000,0.0551722012,0.3640461266,0.0111688673,0.0000000000,0.0000000000,0.0496427864,0.0000000000,0.0865152925,0.0000000000,0.0077259652,0.0763207376,0.0763207376,0.0763363615,0.1094914377,0.0225832351,0.0000000000,0.0304584131,0.0225602239,0.0000000000,0.0000000000,0.0917000249,0.0933551118,0.1430768967,0.1446129680,0.1534867436,0.0612467937,0.1365397125,0.1849184632,0.1012868211,0.0898841023,0.0979396403,0.0907059610,0.0475002974,0.0430849530,0.0347267762,0.0341776796,0.1052026600,0.0000000000,0.0000000000,0.0687988102,0.0660345703,0.0583894663,0.0987302661,0.1013905257,0.0008135454,0.0270226188,0.3151325881,-0.0166570768,-0.0067945318,0.2223822922,-0.0007586237,0.0657300726,0.2219390571,0.0073268097
100:44:47:30.836,61,0.0553100146,0.3620300591,0.1072660610,0.0000000000,0.0000000000,0.0498603247,0.0000000000,0.0550293215,0.3626100421,0.0119975293,0.0000000000,0.0000000000,0.0498564653,0.0000000000,0.0861701965,0.0000000000,0.0075399480,0.0768009275,0.0768009275,0.0768601745,0.1093337461,0.0223046876,0.0000000000,0.0309836417,0.0243308824,0.0000000000,0.0000000000,0.0915128216,0.0930847824,0.1435905546,0.1449963450,0.1523784548,0.0608325675,0.1355258226,0.1854472607,0.0985857248,0.0874079764,0.0975493267,0.0904806629,0.0476861298,0.0433136709,0.0315633118,0.0310546439,0.1050623953,0.0000000000,0.0000000000,0.0675114244,0.0658757612,0.0582432374,0.0982939452,0.1010000929,0.0009259774,0.0270226188,0.3151325881,-0.0166570768,-0.0072988831,0.2215048969,-0.0008116943,0.0652577952,0.2210723311,0.0072454866
100:44:47:31.837,61,0.0541984141,0.3613152206,0.1084254980,0.0000000000,0.0000000000,0.0501734950,0.0000000000,0.0538911037,0.3619115949,0.0109652961,0.0000000000,0.0000000000,0.0501690544,0.0000000000,0.0853738189,0.0000000000,0.0073024482,0.0772208795,0.0772208795,0.0771008283,0.1077326462,0.0215552337,0.0000000000,0.0330682918,0.0335243046,0.0000000000,0.0000000000,0.0914349109,0.0929360092,0.1438646913,0.1450908184,0.1516013443,0.0604258254,0.1323924810,0.1854515374,0.0959038436,0.0851741284,0.0971596837,0.0903150961,0.0477883890,0.0434820876,0.0296597928,0.0291625001,0.1050008163,0.0000000000,0.0000000000,0.0642895401,0.0658179820,0.0581769943,0.0978698060,0.1006156206,0.0008325297,0.0270226188,0.3151325881,-0.0166570768,-0.0066710147,0.2210784405,-0.0007404297,0.0659642294,0.2206340879,0.0073093423
