Timecode,BlendShapeCount,eyeBlinkRight,eyeLookDownRight,eyeLookInRight,eyeLookOutRight,eyeLookUpRight,eyeSquintRight,eyeWideRight,eyeBlinkLeft,eyeLookDownLeft,eyeLookInLeft,eyeLookOutLeft,eyeLookUpLeft,eyeSquintLeft,eyeWideLeft,jawForward,jawRight,jawLeft,jawOpen,mouthClose,mouthFunnel,mouthPucker,mouthRight,mouthLeft,mouthSmileRight,mouthSmileLeft,mouthFrownRight,mouthFrownLeft,mouthDimpleRight,mouthDimpleLeft,mouthStretchRight,mouthStretchLeft,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthPressRight,mouthPressLeft,mouthLowerDownRight,mouthLowerDownLeft,mouthUpperUpRight,mouthUpperUpLeft,browDownRight,browDownLeft,browInnerUp,browOuterUpRight,browOuterUpLeft,cheekPuff,cheekSquintRight,cheekSquintLeft,noseSneerRight,noseSneerLeft,tongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
101:29:40:15.084,61,0.1532026082,0.4566205442,0.1052459702,0.0000000000,0.0000000000,0.0329229236,0.0000000000,0.1528898925,0.4574081600,0.0131077021,0.0000000000,0.0000000000,0.0329223126,0.0000000000,0.0987126827,0.0000000000,0.0074935318,0.1456261575,0.1456261575,0.1319343746,0.2034148127,0.0330986232,0.0000000000,0.0000000000,0.0000000000,0.0374141000,0.0653118715,0.0747455135,0.0779461339,0.1701805592,0.1728643179,0.1495629698,0.0842714161,0.0956167132,0.1309828609,0.0872711167,0.0803640187,0.1563302577,0.1464873105,0.0561006591,0.0509496443,0.0000000000,0.0000000000,0.1660194397,0.1149641275,0.1152003706,0.0993582085,0.0716709793,0.0630659983,0.1473954767,0.1466292441,0.0000298913,-0.0100551322,0.3829742670,-0.0250170417,-0.0079548787,0.2794132829,-0.0011186427,0.0638736710,0.2788373530,0.0089664701
101:29:40:16.085,61,0.1514269859,0.4552088380,0.1023512632,0.0000000000,0.0000000000,0.0328137241,0.0000000000,0.1511206925,0.4559389055,0.0160367917,0.0000000000,0.0000000000,0.0328131579,0.0000000000,0.0987011269,0.0000000000,0.0069296509,0.1486400217,0.1486400217,0.1324258298,0.2052706182,0.0334343016,0.0000000000,0.0000000000,0.0000000000,0.0417598225,0.0683524981,0.0741834044,0.0772708282,0.1706773937,0.1730083823,0.1497665495,0.0845879018,0.0949274227,0.1303600967,0.0855870321,0.0790256113,0.1560553908,0.1464832723,0.0555306114,0.0504586697,0.0000000000,0.0000000000,0.1658871472,0.1158604026,0.1160858870,0.0998191833,0.0711833164,0.0627068430,0.1467299610,0.1457691640,0.0000323733,-0.0100551322,0.3829742670,-0.0250170417,-0.0097329095,0.2785149515,-0.0013642217,0.0621193759,0.2779803872,0.0086928941
101:29:40:17.085,61,0.1503792852,0.4552703202,0.1015054509,0.0000000000,0.0000000000,0.0326774679,0.0000000000,0.1500780284,0.4559843540,0.0168724861,0.0000000000,0.0000000000,0.0326769054,0.0000000000,0.0982253999,0.0000000000,0.0069050631,0.1469577104,0.1469577104,0.1372501254,0.2042245716,0.0334902182,0.0000000000,0.0000000000,0.0000000000,0.0385245122,0.0576005615,0.0737290978,0.0767625347,0.1708682477,0.1732250452,0.1486898363,0.0844067782,0.0942030996,0.1298210770,0.0846865326,0.0782045573,0.1562560350,0.1468551755,0.0552608967,0.0502162129,0.0000000000,0.0000000000,0.1660467833,0.1165692583,0.1167882308,0.1001119316,0.0709506348,0.0625026822,0.1468476653,0.1457105279,0.0000405523,-0.0100551322,0.3829742670,-0.0250170417,-0.0102400882,0.2785425186,-0.0014354559,0.0616059452,0.2780195475,0.0086222244
101:29:40:18.086,61,0.1500996947,0.4554648697,0.0998725221,0.0000000000,0.0000000000,0.0325536951,0.0000000000,0.1498059034,0.4561479092,0.0185110252,0.0000000000,0.0000000000,0.0325531252,0.0000000000,0.0977788344,0.0000000000,0.0069914288,0.1467631608,0.1467631608,0.1398713738,0.2043856829,0.0334423780,0.0000000000,0.0000000000,0.0000000000,0.0378338434,0.0548824258,0.0733097866,0.0762964264,0.1710771769,0.1734809875,0.1482126266,0.0842791200,0.0936675742,0.1294628978,0.0841388553,0.0776970387,0.1565740258,0.1473039389,0.0550515167,0.0500137173,0.0000000000,0.0000000000,0.1662531346,0.1169269681,0.1171410158,0.1004801765,0.0708186552,0.0623721667,0.1471851915,0.1459426284,0.0001279993,-0.0100551322,0.3829742670,-0.0250170417,-0.0112344837,0.2786419392,-0.0015754225,0.0606145374,0.2781411111,0.0084871408
101:29:40:19.087,61,0.1505759209,0.4547812641,0.0995416418,0.0000000000,0.0000000000,0.0325376876,0.0000000000,0.1503124833,0.4554568827,0.0188664924,0.0000000000,0.0000000000,0.0325370990,0.0000000000,0.0974574611,0.0000000000,0.0071017998,0.1467776448,0.1467776448,0.1412182003,0.2050427198,0.0332680680,0.0000000000,0.0000000000,0.0000000000,0.0374872759,0.0533360355,0.0729078278,0.0758669525,0.1711575538,0.1736084819,0.1480636150,0.0843293294,0.0933342054,0.1292225868,0.0838309452,0.0774187595,0.1568271816,0.1476897597,0.0548190586,0.0497989394,0.0000000000,0.0000000000,0.1662051976,0.1167130843,0.1169233024,0.1011194214,0.0707345754,0.0622825772,0.1473933607,0.1461137384,0.0001406455,-0.0100551322,0.3829742670,-0.0250170417,-0.0114504462,0.2782197595,-0.0016032431,0.0604148991,0.2777242661,0.0084463265
101:29:40:20.087,61,0.1573956162,0.4577504694,0.1002531573,0.0000000000,0.0000000000,0.0324174054,0.0000000000,0.1571441889,0.4584436119,0.0181674585,0.0000000000,0.0000000000,0.0324168019,0.0000000000,0.0955135599,0.0000000000,0.0071416842,0.1470830888,0.1470830888,0.1480432153,0.2336705476,0.0331907570,0.0000000000,0.0000000000,0.0000000000,0.0372839794,0.0524111427,0.0723350495,0.0752482414,0.1710610390,0.1735681891,0.1476935893,0.0838542283,0.0931039751,0.1293144673,0.0834629387,0.0770622641,0.1567612141,0.1478073746,0.0546648838,0.0496610403,0.0000000000,0.0000000000,0.1651241630,0.1088078693,0.1090174466,0.1015673503,0.0704482421,0.0620284267,0.1473252773,0.1460590959,0.0002050583,-0.0100551322,0.3829742670,-0.0250170417,-0.0110252462,0.2800444365,-0.0015539643,0.0608415715,0.2795362175,0.0085622407
101:29:40:21.088,61,0.1588075608,0.4575393200,0.1018471196,0.0000000000,0.0000000000,0.0322918780,0.0000000000,0.1585619599,0.4582625329,0.0166752320,0.0000000000,0.0000000000,0.0322912373,0.0000000000,0.0933354646,0.0000000000,0.0072724135,0.1468290985,0.1468290985,0.1546740234,0.2412467748,0.0327786803,0.0000000000,0.0000000000,0.0000000000,0.0306300223,0.0483473800,0.0717509612,0.0746724755,0.1677235067,0.1726085991,0.1473313421,0.0833313167,0.0925447047,0.1289362013,0.0833506584,0.0768958256,0.1571347117,0.1482979208,0.0543344319,0.0493633747,0.0000000000,0.0000000000,0.1644400507,0.1063671410,0.1065751314,0.1134119630,0.0700846091,0.0617297590,0.1461544782,0.1455219686,0.0002304655,-0.0100551322,0.3829742670,-0.0250170417,-0.0101197110,0.2799342275,-0.0014257622,0.0618092753,0.2794044614,0.0086943600
101:29:40:22.088,61,0.1584319323,0.4566148818,0.1012570783,0.0000000000,0.0000000000,0.0321348757,0.0000000000,0.1581857353,0.4573250413,0.0174079034,0.0000000000,0.0000000000,0.0321342051,0.0000000000,0.0843522623,0.0000000000,0.0071953791,0.1398268193,0.1398268193,0.2089683563,0.2448308617,0.0324353948,0.0000000000,0.0000000000,0.0000000000,0.0159012638,0.0351539291,0.0711888075,0.0740943104,0.1650668681,0.1711824834,0.1386035979,0.0784386843,0.0899323672,0.1287783235,0.0831406340,0.0765585005,0.1575370729,0.1487932503,0.0543642826,0.0493813343,0.0000000000,0.0000000000,0.1648350060,0.1118216440,0.1119937301,0.1167529300,0.0696268678,0.0613784716,0.1434286833,0.1434740424,0.0001620530,-0.0100551322,0.3829742670,-0.0250170417,-0.0105646346,0.2793613672,-0.0014853620,0.0614528321,0.2788410485,0.0086265272
101:29:40:23.089,61,0.1581350863,0.4540256560,0.1007157192,0.0000000000,0.0000000000,0.0320487693,0.0000000000,0.1578890383,0.4547213614,0.0180552322,0.0000000000,0.0000000000,0.0320480876,0.0000000000,0.0816809610,0.0000000000,0.0069707371,0.1425993443,0.1425993443,0.2049842775,0.2466509342,0.0320767239,0.0000000000,0.0000000000,0.0000000000,0.0119203031,0.0315176658,0.0707100406,0.0735934451,0.1643265188,0.1708405763,0.1359742135,0.0770022571,0.0868451893,0.1266091466,0.0821422189,0.0754195750,0.1590173990,0.1514082551,0.0540758297,0.0491365269,0.0000000000,0.0000000000,0.1685812622,0.1279892027,0.1281647533,0.1148906499,0.0690866783,0.0609544665,0.1396941990,0.1391624659,0.0001492862,-0.0100551322,0.3829742670,-0.0250170417,-0.0109583056,0.2777707279,-0.0015318256,0.0611288063,0.2772608101,0.0085317520
101:29:40:24.090,61,0.1437898278,0.4507832825,0.1000548899,0.0000000000,0.0000000000,0.0319287255,0.0000000000,0.1437049955,0.4514617920,0.0187376440,0.0000000000,0.0000000000,0.0319279805,0.0000000000,0.0804552957,0.0000000000,0.0071468954,0.1431045234,0.1431045234,0.2074609697,0.2240262479,0.0315406621,0.0000000000,0.0000000000,0.0000000000,0.0100971553,0.0300509520,0.0704850629,0.0733332038,0.1643043607,0.1716672927,0.1338164657,0.0760483295,0.0854198933,0.1263931543,0.0805614293,0.0737227723,0.1592234373,0.1519128084,0.0542406477,0.0493096597,0.0000000000,0.0000000000,0.1698964387,0.1326362640,0.1328065842,0.0966243744,0.0684504882,0.0604143851,0.1376837492,0.1364175230,0.0000847921,-0.0100551322,0.3829742670,-0.0250170417,-0.0113735357,0.2757792771,-0.0015783266,0.0607332997,0.2752819061,0.0084152427
101:29:40:25.090,61,0.1396254897,0.4470742941,0.0970897004,0.0000000000,0.0000000000,0.0318308547,0.0000000000,0.1395711303,0.4476921260,0.0216939114,0.0000000000,0.0000000000,0.0318301171,0.0000000000,0.0800470710,0.0000000000,0.0068728901,0.1475310028,0.1475310028,0.1890596896,0.2377783060,0.0316084884,0.0000000000,0.0000000000,0.0000000000,0.0409496874,0.0518534221,0.0699390545,0.0727200881,0.1644827425,0.1717427075,0.1348519623,0.0756904632,0.0848554522,0.1265313774,0.0797872990,0.0729042068,0.1587233394,0.1517664194,0.0541611463,0.0492236763,0.0000000000,0.0000000000,0.1707794517,0.1350855827,0.1352546513,0.1042436361,0.0678537488,0.0599260889,0.1367204785,0.1352291703,0.0000502848,-0.0100551322,0.3829742670,-0.0250170417,-0.0131693576,0.2734755278,-0.0018120833,0.0589395985,0.2730219066,0.0080986638
